Data_Source,Diluant Type,Diluant(%),Equv(phi),Fuel,Fuel(%),Measured_wavelength(nm),Mode_of_measurement,Oxidizer(%),P(atm),P_Error(%),Research_group,Shocktube_dia(cm),Species_measurement_Error,Species_name,T(K),T_Error(%),Time(μs)
n_Dodecane / Vasu_2010_thesis,N2,78.55,0.5,CCCCCCCCCCCC,0.57,306,Species,20.89,20.8,,Stanford,5,±5,OH,1177,±1,165
Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.58,1,CCCCCC,0.42,306,Species,4,3.6,±1,Stanford,14.13,±3,OH,1396,±0.7,301
n_hexadecane / hexadecane_diesel/Haylett_2011_thesis,Ar,95.85,0.91,CCCCCCCCCCCCCCCC,0.15,431,Species,4,1.83,,Stanford,15.3,±2,CH,1247,±2,2060
n_Dodecane / Vasu_2010_thesis,N2,78.11,1,CCCCCCCCCCCC,1.12,306,Species,20.77,21.8,,Stanford,5,±5,OH,991,±1,645
Horning_2001_thesis / Autoignition_ n_Alkane,Ar,97.6,1,CCCCCCC,0.2,431,Species,2.2,2.13,,Stanford,15.3,±5,CH,1468,±1,216
aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,77.76,1.09,CCCCCCCCCCCC,1.24,430,Speceis,21,4.98,±9.3,Stanford,15.3,,CH,932,±1,4627
aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,77.88,0.98,CCCCCCCCCCCC,1.12,430,Speceis,21,4.1,±9.3,Stanford,15.3,,CH,1061,±1,959
aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,78.93,0.06,CCCCCCCCCCCC,0.07,430,Speceis,21,5.2,±9.3,Stanford,15.3,,CH,1134,±1,2006
Horning_2001_thesis / Autoignition_ n_Alkane,Ar,85.6,1,CCCCCCC,1.2,431,Species,13.2,1.2,,Stanford,15.3,±5,CH,1349,±1,411
n_heptane_methylcyclohexane,Ar,97.7,0.5,CCCCCCC,0.1,306.7,Species,2.2,15,,Stanford,7.5,,OH,1271,±1,377
aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,78.94,0.05,CCCCCCCCCCCC,0.06,430,Speceis,21,5.34,±9.3,Stanford,15.3,,CH,1156,±1,1526
n_heptane_methylcyclohexane,Ar,97.7,0.5,CCCCCCC,0.1,306.7,Species,2.2,15.28,,Stanford,7.5,,OH,1236,±1,652
n_heptane_methylcyclohexane,Ar,97.7,0.5,CCCCCCC,0.1,306.7,Species,2.2,15.13,,Stanford,7.5,,OH,1229,±1,708
aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,78,0.88,CCCCCCCCCCCC,1,430,Speceis,21,6.25,±9.3,Stanford,15.3,,CH,921,±1,5556
Horning_2001_thesis / Autoignition_ n_Alkane,Ar,95.2,1,CCCCCCC,0.4,431,Species,4.4,4.16,,Stanford,15.3,±5,CH,1413,±1,183
n_hexadecane / hexadecane_diesel/Haylett_2011_thesis,Ar,95.84,0.96,CCCCCCCCCCCCCCCC,0.16,431,Species,4,1.71,,Stanford,15.3,±2,CH,1353,±2,708
n_Dodecane / Vasu_2010_thesis,N2,97.14,0.5,CCCCCCCCCCCC,0.08,306,Species,2.79,14.98,,Stanford,5,±5,OH,1192,±1,1056
n_Dodecane / Vasu_2010_thesis,N2,96.3,0.5,CCCCCCCCCCCC,0.1,306,Species,3.6,15.38,,Stanford,5,±5,OH,1186,±1,822
aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,78.45,0.49,CCCCCCCCCCCC,0.55,430,Speceis,21,6.25,±9.3,Stanford,15.3,,CH,1107,±1,1200
blend_surrogate_fuels,N2,77.53,1,CCCCCCC,1.87,306.7,Species,20.6,1.85,,Stanford,5,,OH,1358,±1.8,152
Autoignition_ n_Alkane / Horning_2001_thesis,Ar,92.5,1,CCCC,1,431,Speceis,6.5,2.03,±1,Stanford,15.3,±5,CH,1400,±1,335
n_Dodecane / Vasu_2010_thesis,N2,96.2,0.5,CCCCCCCCCCCC,0.1,306,Species,3.7,16.57,,Stanford,5,±5,OH,1280,±1,195
aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,78,0.88,CCCCCCCCCCCC,1,430,Speceis,21,4.49,±9.3,Stanford,15.3,,CH,976,±1,2555
n_heptane_oxidation,Ar,99.64,1,CCCCCCC,0.03,306.7,Species,0.33,2.33,±1,Stanford,15.3,,OH,1378,±1,1330
aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,78.43,0.5,CCCCCCCCCCCC,0.57,430,Speceis,21,6.18,±9.3,Stanford,15.3,,CH,1118,±1,1081
Horning_2001_thesis / Autoignition_ n_Alkane,Ar,95.2,1,CCCCCCC,0.4,431,Species,4.4,2.12,,Stanford,15.3,±5,CH,1384,±1,403
n_Dodecane / Vasu_2010_thesis,N2,78.55,0.5,CCCCCCCCCCCC,0.57,306,Species,20.89,18.1,,Stanford,5,±5,OH,943,±1,2276
aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,78.13,0.77,CCCCCCCCCCCC,0.88,430,Speceis,21,4.57,±9.3,Stanford,15.3,,CH,1192,±1,246
blend_surrogate_fuels,N2,77.53,1,CCCCCCC,1.87,306.7,Species,20.6,18.13,,Stanford,5,,OH,1012,±1.8,944
n_Dodecane / Vasu_2010_thesis,N2,96.18,0.5,CCCCCCCCCCCC,0.1,306,Species,3.73,16.1,,Stanford,5,±5,OH,1219,±1,485
n_hexadecane / hexadecane_diesel/Haylett_2011_thesis,Ar,95.88,0.71,CCCCCCCCCCCCCCCC,0.12,431,Species,4,1.96,,Stanford,15.3,±2,CH,1218,±2,2657
n_Dodecane / Vasu_2010_thesis,N2,78.11,1,CCCCCCCCCCCC,1.12,306,Species,20.77,22.4,,Stanford,5,±5,OH,1008,±1,570
blend_surrogate_fuels,N2,77.53,1,CCCCCCC,1.87,306.7,Species,20.6,11.8,,Stanford,5,,OH,1290,±1.8,118
aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,77.83,1.03,CCCCCCCCCCCC,1.17,430,Speceis,21,7,±9.3,Stanford,15.3,,CH,940,±1,2599
n_Dodecane / Vasu_2010_thesis,N2,97.14,0.5,CCCCCCCCCCCC,0.08,306,Species,2.79,15.84,,Stanford,5,±5,OH,1222,±1,625
iso_octane_heptane,Ar,99.4,1,CCCCCCC,0.05,216,Species,0.55,1.67,,Stanford,15.3,,CH3,1461,±1,366
Horning_2001_thesis / Autoignition_ n_Alkane,Ar,94.8,0.9,CCCCCCC,0.4,431,Species,4.8,1.22,,Stanford,15.3,±5,CH,1438,±1,238
blend_surrogate_fuels,N2,77.53,1,CCCCCCC,1.87,306.7,Species,20.6,16.72,,Stanford,5,,OH,1048,±1.8,854
n_Dodecane_Nano,N2,78.43,0.5,CCCCCCCCCCCC,0.57,430,Speceis,21,6.7,,Stanford,15.3,,CH,1175,,675
Autoignition_ n_Alkane / Horning_2001_thesis,Ar,92.5,1,CCCC,1,431,Speceis,6.5,1.18,±1,Stanford,15.3,±5,CH,1405,±1,420
n_Dodecane / Vasu_2010_thesis,N2,78.11,1,CCCCCCCCCCCC,1.12,306,Species,20.77,23.3,,Stanford,5,±5,OH,1107,±1,298
n_Dodecane / Vasu_2010_thesis,N2,78.55,0.5,CCCCCCCCCCCC,0.57,306,Species,20.89,20.3,,Stanford,5,±5,OH,996,±1,1245
Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.68,1,CCCCCCCC,0.32,306,Species,4,1.87,±1,Stanford,14.13,±3,OH,1455,±0.7,166
Horning_2001_thesis / Autoignition_ n_Alkane,Ar,97.4,2,CCCCCCC,0.4,431,Species,2.2,1.22,,Stanford,15.3,±5,CH,1619,±1,210
aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,77.51,1.32,CCCCCCCCCCCC,1.49,430,Speceis,21,6.01,±9.3,Stanford,15.3,,CH,932,±1,1559
n_Dodecane_Nano,N2,99.17,1,CCCCCCCCCCCC,0.05,430,Speceis,0.78,2.25,,Stanford,15.3,,CH,1553,,276
blend_surrogate_fuels,N2,77.53,1,CCCCCCC,1.87,306.7,Species,20.6,48.6,,Stanford,5,,OH,985,±1.8,364
n_Dodecane / Vasu_2010_thesis,N2,78.55,0.5,CCCCCCCCCCCC,0.57,306,Species,20.89,22.7,,Stanford,5,±5,OH,910,±1,2134
n_hexadecane / hexadecane_diesel/Haylett_2011_thesis,Ar,98.95,1.21,CCCCCCCCCCCCCCCC,0.05,431,Species,1,6.77,,Stanford,15.3,±2,CH,1333,±2,917
Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.68,1,CCCCCCCC,0.32,306,Species,4,2.05,±1,Stanford,14.13,±3,OH,1265,±0.7,1569
Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.5,1,CCCCC,0.5,306,Species,4,2,±1,Stanford,14.13,±3,OH,1267,±0.7,1845
Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.58,1,CCCCCC,0.42,306,Species,4,1.92,±1,Stanford,14.13,±3,OH,1284,±0.7,1317
Haylett_2011_thesis,N2,76.43,1.89,CCCCCCCCCC,2.57,430,Species,21,4.93, ±9.6,Stanford,15.3, ±9.6,CH,1173, ±2,950
Haylett_2011_thesis,N2,77.56,1.06,CCCCCCCCCC,1.44,430,Species,21,5.14, ±9.6,Stanford,15.3, ±9.6,CH,1081, ±2,1696
C1_C4_Alkanes,Ar,92.86,1,CCCC,0.95,430,Speceis,6.19,5.46,,Xi’an_Jiaotong,11.5,±2.36,CH,1281,±3,814
n_hexadecane / hexadecane_diesel/Haylett_2011_thesis,Ar,95.82,1.09,CCCCCCCCCCCCCCCC,0.18,431,Species,4,2.13,,Stanford,15.3,±2,CH,1181,±2,5536
n_hexadecane / hexadecane_diesel/Haylett_2011_thesis,Ar,98.95,1.22,CCCCCCCCCCCCCCCC,0.05,431,Species,1,6.54,,Stanford,15.3,±2,CH,1267,±2,1902
Haylett_2011_thesis,N2,77.51,1.1,CCCCCCCCCC,1.49,430,Species,21,4.87, ±9.6,Stanford,15.3, ±9.6,CH,1131, ±2,1252
Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.58,1,CCCCCC,0.42,306,Species,4,3.32,±1,Stanford,14.13,±3,OH,1273,±0.7,1046
Autoignition_ n_Alkane / Horning_2001_thesis,Ar,95.75,2,CCCC,1,431,Speceis,3.25,1.13,±1,Stanford,15.3,±5,CH,1618,±1,218
n_hexadecane / hexadecane_diesel/Haylett_2011_thesis,Ar,98.97,0.76,CCCCCCCCCCCCCCCC,0.03,431,Species,1,4.44,,Stanford,15.3,±2,CH,1172,±2,4577
Autoignition_ n_Alkane / Horning_2001_thesis,Ar,95.75,2,CCCC,1,431,Speceis,3.25,1.13,±1,Stanford,15.3,±5,CH,1577,±1,304
aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,78.27,0.65,CCCCCCCCCCCC,0.73,430,Speceis,21,6.37,±9.3,Stanford,15.3,,CH,1168,±1,484
aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,78.51,0.43,CCCCCCCCCCCC,0.49,430,Speceis,21,8.63,±9.3,Stanford,15.3,,CH,1220,±1,292
C1_C4_Alkanes,Ar,92.86,1,CCCC,0.95,430,Speceis,6.19,5.5,,Xi’an_Jiaotong,11.5,±2.36,CH,1355,±3,322
Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.71,1,CCCCCCCCC,0.29,306,Species,4,3.46,±1,Stanford,14.13,±3,OH,1263,±0.7,1237
Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.5,1,CCCCC,0.5,306,Species,4,3.75,±1,Stanford,14.13,±3,OH,1261,±0.7,1455
C1_C4_Alkanes,Ar,92.86,1,CCCC,0.95,430,Speceis,6.19,1.25,,Xi’an_Jiaotong,11.5,±2.36,CH,1253,±3,1791
n_hexadecane / hexadecane_diesel/Haylett_2011_thesis,Ar,95.88,0.74,CCCCCCCCCCCCCCCC,0.12,431,Species,4,2.05,,Stanford,15.3,±2,CH,1183,±2,4264
Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.71,1,CCCCCCCCC,0.29,306,Species,4,3.45,±1,Stanford,14.13,±3,OH,1359,±0.7,349
n_Dodecane / Vasu_2010_thesis,N2,96.3,0.5,CCCCCCCCCCCC,0.1,306,Species,3.6,16.73,,Stanford,5,±5,OH,1230,±1,429
Autoignition_ n_Alkane / Horning_2001_thesis,Ar,85,1,CCCC,2,431,Speceis,13,1.15,±1,Stanford,15.3,±5,CH,1434,±1,180
Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.86,0.5,CCCCCCCCC,0.14,306,Species,4,1.92,±1,Stanford,14.13,±3,OH,1305,±0.7,536
n_Dodecane / Vasu_2010_thesis,N2,96.3,0.5,CCCCCCCCCCCC,0.1,306,Species,3.6,15.19,,Stanford,5,±5,OH,1158,±1,1181
Horning_2001_thesis / Autoignition_ n_Alkane,Ar,95.2,1,CCCCCCC,0.4,431,Species,4.4,4.11,,Stanford,15.3,±5,CH,1463,±1,103
Autoignition_ n_Alkane / Horning_2001_thesis,Ar,92.5,1,CCCC,1,431,Speceis,6.5,1.32,±1,Stanford,15.3,±5,CH,1483,±1,161
C1_C4_Alkanes,Ar,92.86,1,CCCC,0.95,430,Speceis,6.19,1.49,,Xi’an_Jiaotong,11.5,±2.36,CH,1386,±3,485
Autoignition_ n_Alkane / Horning_2001_thesis,Ar,92.5,1,CCCC,1,431,Speceis,6.5,1.99,±1,Stanford,15.3,±5,CH,1407,±1,297
blend_surrogate_fuels,N2,77.53,1,CCCCCCC,1.87,306.7,Species,20.6,54.2,,Stanford,5,,OH,1023,±1.8,261
n_Dodecane_Nano,N2,99.19,1,CCCCCCCCCCCC,0.05,430,Speceis,0.76,2.07,,Stanford,15.3,,CH,1427,,655
Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.86,0.5,CCCCCCCCC,0.14,306,Species,4,1.96,±1,Stanford,14.13,±3,OH,1284,±0.7,781
n_hexadecane / hexadecane_diesel/Haylett_2011_thesis,Ar,95.82,1.12,CCCCCCCCCCCCCCCC,0.18,431,Species,4,6.46,,Stanford,15.3,±2,CH,1327,±2,360
n_hexadecane / hexadecane_diesel/Haylett_2011_thesis,Ar,95.84,0.97,CCCCCCCCCCCCCCCC,0.16,431,Species,4,1.89,,Stanford,15.3,±2,CH,1285,±2,1386
Horning_2001_thesis / Autoignition_ n_Alkane,Ar,95.2,1,CCCCCCC,0.4,431,Species,4.4,4.22,,Stanford,15.3,±5,CH,1394,±1,227
Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.5,1,CCCCC,0.5,306,Species,4,3.41,±1,Stanford,14.13,±3,OH,1449,±0.7,162
C1_C4_Alkanes,Ar,92.86,1,CCCC,0.95,430,Speceis,6.19,5.32,,Xi’an_Jiaotong,11.5,±2.36,CH,1477,±3,93
n_Dodecane / Vasu_2010_thesis,N2,78.11,1,CCCCCCCCCCCC,1.12,306,Species,20.77,20.5,,Stanford,5,±5,OH,976,±1,800
n_Dodecane / Vasu_2010_thesis,N2,78.11,1,CCCCCCCCCCCC,1.12,306,Species,20.77,19.4,,Stanford,5,±5,OH,1087,±1,403
Horning_2001_thesis / Autoignition_ n_Alkane,Ar,95.2,1,CCCCCCC,0.4,431,Species,4.4,5.71,,Stanford,15.3,±5,CH,1431,±1,120
Autoignition_ n_Alkane / Horning_2001_thesis,Ar,86,0.5,CCCC,1,431,Speceis,13,1.12,±1,Stanford,15.3,±5,CH,1389,±1,204
Horning_2001_thesis / Autoignition_ n_Alkane,Ar,90.8,0.5,CCCCCCC,0.4,431,Species,8.8,1.3,,Stanford,15.3,±5,CH,1347,±1,286
n_Dodecane / Vasu_2010_thesis,N2,78.11,1,CCCCCCCCCCCC,1.12,306,Species,20.77,25.9,,Stanford,5,±5,OH,855,±1,875
blend_surrogate_fuels,N2,77.53,1,CCCCCCC,1.87,306.7,Species,20.6,55.4,,Stanford,5,,OH,932,±1.8,323
Autoignition_ n_Alkane / Horning_2001_thesis,Ar,86,0.5,CCCC,1,431,Speceis,13,1.11,±1,Stanford,15.3,±5,CH,1385,±1,206
n_Dodecane_Nano,N2,99.2,1,CCCCCCCCCCCC,0.05,430,Speceis,0.75,2.17,,Stanford,15.3,,CH,1607,,84
n_Dodecane / Vasu_2010_thesis,N2,78.11,1,CCCCCCCCCCCC,1.12,306,Species,20.77,22.5,,Stanford,5,±5,OH,869,±1,1040
aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,77.84,1.02,CCCCCCCCCCCC,1.16,430,Speceis,21,5.05,±9.3,Stanford,15.3,,CH,954,±1,4169
