,Diluant(%),Equv(phi),Fuel,Fuel(%),Oxidizer(%),P(atm),T(K),Time(Î¼s)
11,78.107,1.0,CCCCCCCCCCCC,1.123,20.77,26.9,818,881
18,99.2,1.0,CCCCCCCCCCCC,0.05,0.75,2.25,1477,216
20,78.43,0.5,CCCCCCCCCCCC,0.57,21.0,6.7,1249,84
23,99.203,1.0,CCCCCCCCCCCC,0.047,0.75,2.09,1612,80
24,78.107,1.0,CCCCCCCCCCCC,1.123,20.77,23.3,822,805
26,99.206,1.0,CCCCCCCCCCCC,0.044,0.75,2.17,1536,140
27,78.545,0.5,CCCCCCCCCCCC,0.565,20.89,25.0,806,1522
30,99.1885,1.0,CCCCCCCCCCCC,0.048,0.7635,2.14,1618,96
31,78.545,0.5,CCCCCCCCCCCC,0.565,20.89,26.0,747,2243
33,78.1724,0.73,CCCCCCCCCCCC,0.8276,21.0,6.42,1284,80
36,99.212,1.0,CCCCCCCCCCCC,0.0428,0.7452,2.13,1645,91
37,99.203,1.0,CCCCCCCCCCCC,0.047,0.75,2.24,1528,116
38,78.61,0.34,CCCCCCCCCCCC,0.39,21.0,7.53,1243,130
40,76.862,1.88,CCCCCCCCCCCC,2.138,21.0,5.04,979,306
41,78.43,0.5,CCCCCCCCCCCC,0.57,21.0,6.7,1238,109
43,78.7936,0.18,CCCCCCCCCCCC,0.2064,21.0,4.51,1351,233
44,78.43,0.5,CCCCCCCCCCCC,0.57,21.0,6.7,1187,395
45,78.3028,0.61,CCCCCCCCCCCC,0.6972,21.0,8.24,1124,702
46,78.3703,0.55,CCCCCCCCCCCC,0.6297,21.0,5.92,1345,123
50,99.2015,1.0,CCCCCCCCCCCC,0.0485,0.75,2.32,1381,1020
53,78.424,0.51,CCCCCCCCCCCC,0.576,21.0,6.07,1140,820
55,78.43,0.5,CCCCCCCCCCCC,0.57,21.0,6.7,1224,253
57,78.107,1.0,CCCCCCCCCCCC,1.123,20.77,22.3,1015,508
58,78.545,0.5,CCCCCCCCCCCC,0.565,20.89,21.2,1163,213
59,78.4664,0.47,CCCCCCCCCCCC,0.5336,21.0,6.19,1172,524
62,78.43,0.5,CCCCCCCCCCCC,0.57,21.0,6.7,1108,1339
63,78.4344,0.5,CCCCCCCCCCCC,0.5656,21.0,4.01,1146,1027
65,78.43,0.5,CCCCCCCCCCCC,0.57,21.0,6.7,1173,475
66,78.107,1.0,CCCCCCCCCCCC,1.123,20.77,23.0,1109,278
69,78.4345,0.5,CCCCCCCCCCCC,0.5655,21.0,6.32,1086,1422
70,78.545,0.5,CCCCCCCCCCCC,0.565,20.89,18.4,1082,566
73,78.5944,0.36,CCCCCCCCCCCC,0.4056,21.0,4.87,976,6220
74,78.4977,0.44,CCCCCCCCCCCC,0.5023,21.0,6.32,1078,1624
79,77.821,1.04,CCCCCCCCCCCC,1.179,21.0,6.57,1011,1100
84,78.3115,0.61,CCCCCCCCCCCC,0.6885,21.0,8.5,1114,640
86,78.2129,0.69,CCCCCCCCCCCC,0.7871,21.0,8.02,1084,738
91,99.203,1.0,CCCCCCCCCCCC,0.047,0.75,2.35,1418,614
92,78.4351,0.5,CCCCCCCCCCCC,0.5649,21.0,6.56,1053,2105
94,77.9754,0.9,CCCCCCCCCCCC,1.0246,21.0,7.88,1167,215
96,99.1887,1.0,CCCCCCCCCCCC,0.0456,0.7657,2.47,1415,790
97,78.43,0.5,CCCCCCCCCCCC,0.57,21.0,6.7,1145,605
98,78.814,0.16,CCCCCCCCCCCC,0.186,21.0,4.64,1209,926
102,99.2025,1.0,CCCCCCCCCCCC,0.0475,0.75,2.26,1450,461
103,99.1999,1.0,CCCCCCCCCCCC,0.0476,0.7525,2.26,1466,438
113,78.2099,0.7,CCCCCCCCCCCC,0.7901,21.0,8.09,1117,412
114,77.72,1.13,CCCCCCCCCCCC,1.28,21.0,5.21,943,3804
116,78.107,1.0,CCCCCCCCCCCC,1.123,20.77,22.0,987,699
118,99.1923,1.0,CCCCCCCCCCCC,0.046,0.7617,2.28,1407,791
124,99.2011,1.0,CCCCCCCCCCCC,0.05,0.7489,2.34,1387,1197
129,78.3205,0.6,CCCCCCCCCCCC,0.6795,21.0,4.23,993,5732
130,78.545,0.5,CCCCCCCCCCCC,0.565,20.89,22.7,910,2134
150,78.3902,0.54,CCCCCCCCCCCC,0.6098,21.0,6.71,1045,2753
164,99.226,1.0,CCCCCCCCCCCC,0.043,0.731,2.3,1394,1463
165,78.7926,0.18,CCCCCCCCCCCC,0.2074,21.0,4.0,1078,5605
170,78.2661,0.65,CCCCCCCCCCCC,0.7339,21.0,6.37,1168,484
