Data_Source,Diluant Type,Equv(phi),Fuel,C_count,Fuel(%),Oxidizer(%),P(atm),T(K),Time(Î¼s)
High-Temperature Autoignition of n-Alkane/O2/Ar Mixtures,Ar,0.5,CCCCCCC,7,0.4,8.8,1,1454.9687,95.8256
High-Temperature Autoignition of n-Alkane/O2/Ar Mixtures,Ar,0.5,CCCCCCC,7,0.4,8.8,1,1432.4595,123.7635
High-Temperature Autoignition of n-Alkane/O2/Ar Mixtures,Ar,0.5,CCCCCCC,7,0.4,8.8,1,1412.2299,142.6662
High-Temperature Autoignition of n-Alkane/O2/Ar Mixtures,Ar,0.5,CCCCCCC,7,0.4,8.8,1,1396.453,182.5227
High-Temperature Autoignition of n-Alkane/O2/Ar Mixtures,Ar,0.5,CCCCCCC,7,0.4,8.8,1,1347.8906,336.3171
High-Temperature Autoignition of n-Alkane/O2/Ar Mixtures,Ar,0.5,CCCCCCC,7,0.4,8.8,1,1346.8013,364.5259
High-Temperature Autoignition of n-Alkane/O2/Ar Mixtures,Ar,0.9,CCCCCCC,7,0.4,4.8889,1,1490.0909,154.6324
High-Temperature Autoignition of n-Alkane/O2/Ar Mixtures,Ar,0.9,CCCCCCC,7,0.4,4.8889,1,1444.6692,253.1
High-Temperature Autoignition of n-Alkane/O2/Ar Mixtures,Ar,0.9,CCCCCCC,7,0.4,4.8889,1,1438.2281,269.179
High-Temperature Autoignition of n-Alkane/O2/Ar Mixtures,Ar,0.9,CCCCCCC,7,0.4,4.8889,1,1381.4063,540.1449
High-Temperature Autoignition of n-Alkane/O2/Ar Mixtures,Ar,1,CCCCCCC,7,0.4,4.4,1,1485.8841,180.8013
High-Temperature Autoignition of n-Alkane/O2/Ar Mixtures,Ar,1,CCCCCCC,7,0.4,4.4,1,1458.3637,239.1117
High-Temperature Autoignition of n-Alkane/O2/Ar Mixtures,Ar,1,CCCCCCC,7,0.4,4.4,1,1428.5714,341.1315
High-Temperature Autoignition of n-Alkane/O2/Ar Mixtures,Ar,2,CCCCCCC,7,0.4,2.2,1,1675.3225,165.2369
High-Temperature Autoignition of n-Alkane/O2/Ar Mixtures,Ar,2,CCCCCCC,7,0.4,2.2,1,1618.123,237.9815
High-Temperature Autoignition of n-Alkane/O2/Ar Mixtures,Ar,2,CCCCCCC,7,0.4,2.2,1,1529.052,507.8802
High-Temperature Autoignition of n-Alkane/O2/Ar Mixtures,Ar,1,CCCCCCC,7,0.4,4.4,2,1503.5333,102.306
High-Temperature Autoignition of n-Alkane/O2/Ar Mixtures,Ar,1,CCCCCCC,7,0.4,4.4,2,1477.1049,133.8852
High-Temperature Autoignition of n-Alkane/O2/Ar Mixtures,Ar,1,CCCCCCC,7,0.4,4.4,2,1455.6041,172.0456
High-Temperature Autoignition of n-Alkane/O2/Ar Mixtures,Ar,1,CCCCCCC,7,0.4,4.4,2,1434.5144,214.1377
High-Temperature Autoignition of n-Alkane/O2/Ar Mixtures,Ar,1,CCCCCCC,7,0.4,4.4,2,1412.4294,276.4294
High-Temperature Autoignition of n-Alkane/O2/Ar Mixtures,Ar,1,CCCCCCC,7,0.4,4.4,2,1383.1259,416.6794
High-Temperature Autoignition of n-Alkane/O2/Ar Mixtures,Ar,1,CCCCCCC,7,0.4,4.4,4,1475.1438,90.869
High-Temperature Autoignition of n-Alkane/O2/Ar Mixtures,Ar,1,CCCCCCC,7,0.4,4.4,4,1462.2021,103.715
High-Temperature Autoignition of n-Alkane/O2/Ar Mixtures,Ar,1,CCCCCCC,7,0.4,4.4,4,1420.2528,162.885
High-Temperature Autoignition of n-Alkane/O2/Ar Mixtures,Ar,1,CCCCCCC,7,0.4,4.4,4,1412.4294,185.066
High-Temperature Autoignition of n-Alkane/O2/Ar Mixtures,Ar,1,CCCCCCC,7,0.4,4.4,4,1394.7001,232.4538
High-Temperature Autoignition of n-Alkane/O2/Ar Mixtures,Ar,1,CCCCCCC,7,0.4,4.4,6,1442.7932,112.5862
High-Temperature Autoignition of n-Alkane/O2/Ar Mixtures,Ar,1,CCCCCCC,7,0.4,4.4,6,1430.6152,116.7688
High-Temperature Autoignition of n-Alkane/O2/Ar Mixtures,Ar,1,CCCCCCC,7,0.4,4.4,6,1420.2528,133.8852
High-Temperature Autoignition of n-Alkane/O2/Ar Mixtures,Ar,1,CCCCCCC,7,0.4,4.4,6,1418.4397,148.6884
High-Temperature Autoignition of n-Alkane/O2/Ar Mixtures,Ar,1,CCCCCCC,7,0.4,4.4,6,1400.5602,183.3861
High-Temperature Autoignition of n-Alkane/O2/Ar Mixtures,Ar,1,CCCCCCC,7,0.4,4.4,6,1375.5158,262.9069
High-Temperature Autoignition of n-Alkane/O2/Ar Mixtures,Ar,1,CCCCCCC,7,0.4,4.4,6,1371.554,267.7459
