,Constant,len,dia,hei,w_wei,s_wei,v_wei,sh_wei,y_pred,y_act
17,1.0,0.61,0.365,0.155,1.0765,0.488,0.249,0.27,9.588279681984268,9
25,1.0,0.665,0.525,0.18,1.5785,0.6779999999999999,0.2289999999999999,0.456,13.571333467873187,14
41,1.0,0.565,0.435,0.185,0.9815,0.3289999999999999,0.136,0.39,14.157071000067335,13
42,1.0,0.705,0.535,0.22,1.866,0.929,0.3835,0.4395,10.956884725070097,10
45,1.0,0.62,0.48,0.23,1.0935,0.4029999999999999,0.245,0.355,13.801554382059894,14
49,1.0,0.595,0.47,0.25,1.283,0.462,0.2475,0.445,14.693402456716873,14
51,1.0,0.555,0.44,0.15,1.092,0.416,0.212,0.4405,13.192261462479513,15
70,1.0,0.65,0.525,0.205,1.4275,0.69,0.306,0.4355,12.129102387891093,13
83,1.0,0.65,0.475,0.165,1.3875,0.58,0.3485,0.3095,11.304090963925411,9
121,1.0,0.58,0.445,0.17,1.178,0.3935,0.2165,0.315,13.307079441783664,20
125,1.0,0.65,0.515,0.175,1.4805,0.5295,0.272,0.525,15.25340349003138,20
137,1.0,0.69,0.56,0.215,1.719,0.68,0.299,0.47,14.80448825240945,17
138,1.0,0.455,0.325,0.135,0.82,0.4005,0.1715,0.211,8.712722730945126,8
145,1.0,0.695,0.58,0.2,1.8995,0.675,0.478,0.5295,15.40854569587207,13
158,1.0,0.635,0.495,0.18,1.596,0.617,0.317,0.37,12.987796588186301,11
185,1.0,0.645,0.505,0.165,1.307,0.4335,0.262,0.52,15.471405300860694,10
191,1.0,0.63,0.49,0.225,1.336,0.6805,0.259,0.3245,10.904369976482766,10
195,1.0,0.69,0.55,0.2,1.8465,0.732,0.472,0.57,14.189885813000624,19
213,1.0,0.72,0.55,0.2,1.9965,0.9035,0.469,0.5215,12.196174556330995,10
230,1.0,0.635,0.51,0.21,1.598,0.6535,0.2835,0.58,14.667513661590043,15
243,1.0,0.68,0.55,0.21,1.7445,0.5975,0.305,0.625,17.07816961685992,17
246,1.0,0.695,0.525,0.175,1.742,0.696,0.389,0.505,13.590584801774076,12
250,1.0,0.605,0.46,0.17,1.122,0.347,0.3045,0.315,13.344769742962578,13
254,1.0,0.49,0.355,0.16,0.8795,0.3485,0.215,0.2825,10.703680450741194,8
269,1.0,0.68,0.58,0.2,1.787,0.585,0.4529999999999999,0.6,16.752952122236216,19
281,1.0,0.575,0.435,0.15,1.0305,0.4605,0.218,0.36,11.49503780291234,8
287,1.0,0.565,0.505,0.21,1.2765,0.501,0.2789999999999999,0.355,13.373682260976427,12
290,1.0,0.665,0.5,0.175,1.742,0.595,0.3025,0.725,16.86086361582314,21
291,1.0,0.635,0.525,0.205,1.484,0.55,0.3115,0.43,14.42982171621667,20
306,1.0,0.745,0.585,0.215,2.499,0.9265,0.472,0.7,16.628241165903955,17
310,1.0,0.675,0.525,0.17,1.711,0.8365,0.352,0.475,11.313774438497445,9
339,1.0,0.74,0.595,0.19,2.3235,1.1495,0.5115,0.505,10.613279942009283,11
341,1.0,0.355,0.27,0.075,0.204,0.3045,0.046,0.0595,4.978983362302985,7
349,1.0,0.695,0.55,0.155,1.8495,0.767,0.442,0.4175,12.375129454467118,10
360,1.0,0.565,0.435,0.185,1.032,0.354,0.2045,0.31,13.077954144142973,20
372,1.0,0.55,0.425,0.16,0.97,0.2885,0.139,0.48,14.974970332390086,20
377,1.0,0.54,0.42,0.19,0.6855,0.293,0.163,0.38,12.593059912489174,10
402,1.0,0.645,0.485,0.155,1.489,0.5915,0.312,0.38,12.504535954196081,18
409,1.0,0.69,0.54,0.185,1.6195,0.5329999999999999,0.353,0.555,16.1570360687548,24
410,1.0,0.715,0.55,0.19,2.0045,1.0465,0.407,0.5075,10.33228046496123,12
413,1.0,0.185,0.375,0.12,0.4645,0.196,0.1045,0.15,10.183744684419658,6
432,1.0,0.68,0.515,0.175,1.6185,0.5125,0.409,0.62,16.159144993840332,12
437,1.0,0.74,0.575,0.22,2.012,0.8915,0.5265,0.471,12.258410097227172,12
439,1.0,0.73,0.57,0.165,2.0165,1.0685,0.418,0.435,9.543876607087189,10
444,1.0,0.61,0.5,0.165,1.2715,0.4915,0.185,0.49,14.593459510767412,12
460,1.0,0.66,0.495,0.195,1.6275,0.594,0.3595,0.485,14.21958089221927,10
464,1.0,0.54,0.41,0.145,0.989,0.2815,0.213,0.355,13.487308063588173,19
465,1.0,0.625,0.5,0.195,1.369,0.5875,0.2185,0.37,12.916794879424522,17
470,1.0,0.535,0.405,0.125,0.927,0.26,0.1425,0.345,13.562634667468004,16
474,1.0,0.7,0.565,0.175,1.8565,0.8445,0.3935,0.54,12.847054643413674,10
485,1.0,0.715,0.565,0.24,2.1995,0.7245,0.465,0.885,19.214005062455847,17
487,1.0,0.645,0.49,0.215,1.406,0.4265,0.2285,0.51,16.48789390608791,25
497,1.0,0.7,0.535,0.16,1.7255,0.63,0.2635,0.54,15.490537822239025,19
498,1.0,0.7,0.585,0.185,1.8075,0.7055,0.3215,0.475,14.925606663477062,29
506,1.0,0.645,0.5,0.225,1.626,0.5870000000000001,0.4055,0.41,13.809033869043434,15
512,1.0,0.635,0.48,0.235,1.064,0.413,0.228,0.36,13.66964040386101,16
513,1.0,0.53,0.41,0.165,0.8115,0.24,0.1689999999999999,0.24,12.676030173055409,19
515,1.0,0.62,0.51,0.175,1.615,0.5105,0.192,0.675,17.812213047958355,12
549,1.0,0.595,0.47,0.155,1.121,0.4515,0.178,0.155,11.409478339898836,11
565,1.0,0.57,0.43,0.12,1.0615,0.348,0.1669999999999999,0.31,12.939243572565383,15
577,1.0,0.605,0.475,0.16,1.616,0.5495,0.332,0.34,13.333404999354634,18
585,1.0,0.64,0.51,0.175,1.368,0.515,0.266,0.57,15.120398688528198,21
592,1.0,0.755,0.575,0.2,2.073,1.0135,0.4655,0.48,11.083577828081442,11
601,1.0,0.66,0.515,0.18,1.523,0.54,0.3365,0.555,15.214660156459258,16
613,1.0,0.375,0.27,0.135,0.597,0.272,0.131,0.1675,8.48784993532153,7
619,1.0,0.77,0.605,0.175,2.0505,0.8005,0.526,0.355,12.997406034312375,11
627,1.0,0.525,0.43,0.125,0.813,0.3315,0.166,0.1775,10.837591716564708,12
633,1.0,0.54,0.405,0.155,0.9715,0.3225,0.1939999999999999,0.29,12.4413015265274,19
640,1.0,0.595,0.43,0.21,1.5245,0.653,0.396,0.41,11.22452915183178,11
661,1.0,0.605,0.45,0.165,1.2225,0.357,0.2019999999999999,0.385,14.72484866592375,13
688,1.0,0.695,0.55,0.16,1.6365,0.6940000000000001,0.3005,0.44,13.293657022604727,13
689,1.0,0.8,0.63,0.195,2.526,0.933,0.59,0.62,15.839547895865135,23
694,1.0,0.655,0.59,0.2,1.5455,0.654,0.3765,0.415,13.606347790046915,11
719,1.0,0.585,0.455,0.125,1.027,0.391,0.212,0.25,11.787614242486493,17
723,1.0,0.585,0.455,0.225,1.055,0.3815,0.221,0.365,13.726472498414287,15
724,1.0,0.555,0.405,0.19,1.406,0.6115,0.342,0.389,10.812448203916958,10
727,1.0,0.71,0.53,0.195,1.8745,0.6755,0.4065,0.6855,16.104243226488975,12
731,1.0,0.78,0.63,0.215,2.657,1.4880000000000002,0.4985,0.586,8.92318513654226,11
733,1.0,0.585,0.47,0.165,1.409,0.8,0.2289999999999999,0.295,8.744986783125134,10
742,1.0,0.75,0.61,0.235,2.5085,1.232,0.519,0.612,11.788600108364278,14
746,1.0,0.58,0.43,0.17,1.48,0.6535,0.324,0.4155,11.097687650277217,10
751,1.0,0.63,0.515,0.155,1.259,0.4105,0.1969999999999999,0.41,15.173689972618815,13
752,1.0,0.735,0.555,0.22,2.333,1.2395,0.3645,0.6195,10.780961685337473,12
755,1.0,0.76,0.605,0.215,2.173,0.8009999999999999,0.4915,0.6459999999999999,16.370300710935073,13
762,1.0,0.705,0.555,0.215,2.141,1.0465,0.3829999999999999,0.528,11.687993085031158,11
764,1.0,0.705,0.57,0.18,1.5345,0.96,0.4195,0.43,8.463928338356956,12
771,1.0,0.545,0.385,0.15,1.1185,0.5425,0.2445,0.2845,9.390933809346784,9
772,1.0,0.695,0.55,0.215,1.9565,0.7125,0.541,0.59,14.960638347424913,14
777,1.0,0.71,0.54,0.165,1.959,0.7665,0.261,0.78,16.70759908086649,18
784,1.0,0.56,0.44,0.155,0.6405,0.336,0.1765,0.245,10.613473983146484,8
788,1.0,0.74,0.6,0.195,1.974,0.598,0.4085,0.71,18.941815632651647,16
789,1.0,0.655,0.54,0.215,1.844,0.7425,0.327,0.585,14.99700278777313,22
794,1.0,0.54,0.475,0.155,1.217,0.5305,0.3075,0.34,11.435974011024225,16
807,1.0,0.62,0.48,0.165,1.0125,0.5325,0.4365,0.324,9.500538737346043,10
810,1.0,0.7,0.575,0.205,1.773,0.605,0.447,0.5379999999999999,15.936863880821045,13
827,1.0,0.485,0.37,0.155,0.968,0.419,0.2455,0.2365,9.817086495468793,9
844,1.0,0.545,0.42,0.125,0.9745,0.353,0.174,0.305,12.19357235032998,13
847,1.0,0.605,0.505,0.18,1.4340000000000002,0.7285,0.264,0.431,11.331698287974788,11
866,1.0,0.62,0.485,0.22,1.511,0.5095,0.284,0.51,15.506370215498052,17
885,1.0,0.78,0.6,0.21,2.548,1.1945,0.5745,0.6745,12.337286138931928,11
905,1.0,0.66,0.505,0.2,1.6305,0.4865,0.297,0.61,17.287434722374957,18
918,1.0,0.665,0.555,0.195,1.4385,0.581,0.354,0.36,13.27531138122923,17
926,1.0,0.755,0.58,0.205,2.0065,0.8295,0.4015,0.595,14.743389917850777,10
929,1.0,0.69,0.55,0.195,1.777,0.769,0.38,0.4305,12.742828087744758,11
932,1.0,0.625,0.475,0.13,0.8595,0.3195,0.1775,0.24,12.336072025312124,13
933,1.0,0.615,0.525,0.155,1.1375,0.367,0.236,0.37,14.72556516567572,20
936,1.0,0.665,0.54,0.175,1.347,0.4955,0.254,0.415,14.638125768397405,17
944,1.0,0.66,0.525,0.215,1.786,0.6725,0.3615,0.4065,13.969399942781173,11
957,1.0,0.655,0.58,0.205,2.0805,0.959,0.3415,0.601,13.667544274321095,17
972,1.0,0.68,0.55,0.2,1.596,0.525,0.4075,0.585,16.29490627781407,21
979,1.0,0.71,0.57,0.195,1.9805,0.9925,0.4925,0.48,10.585699276314394,12
980,1.0,0.655,0.53,0.165,1.2835,0.583,0.1255,0.4,13.437069932314998,8
996,1.0,0.615,0.475,0.17,1.1825,0.474,0.2895,0.24,11.576394425500284,11
1018,1.0,0.535,0.385,0.18,1.0835,0.4955,0.2295,0.304,10.368804595657018,8
1031,1.0,0.65,0.52,0.21,1.6785,0.6665,0.308,0.46,14.047520907882411,11
1046,1.0,0.745,0.585,0.19,1.966,0.8435,0.437,0.5855,13.962901346648959,18
1061,1.0,0.515,0.35,0.155,0.9225,0.4185,0.198,0.273,9.84623070172726,9
1075,1.0,0.705,0.565,0.515,2.21,1.1075,0.4865,0.512,13.136189812112075,10
1079,1.0,0.67,0.52,0.15,1.406,0.519,0.348,0.37,13.243647220216348,13
1088,1.0,0.69,0.505,0.2,1.872,0.893,0.4015,0.48,11.122387976207516,10
1092,1.0,0.645,0.495,0.185,1.4935,0.5265,0.2785,0.455,14.628790480700387,15
1105,1.0,0.545,0.405,0.175,0.98,0.2585,0.207,0.38,14.179634277259552,18
1116,1.0,0.41,0.335,0.11,0.33,0.157,0.0705,0.17,9.71899755462057,7
1159,1.0,0.575,0.42,0.19,1.764,0.914,0.377,0.4095,8.566618159922143,10
1162,1.0,0.75,0.565,0.215,1.938,0.7735,0.4825,0.575,14.414956420529617,11
1165,1.0,0.735,0.59,0.205,2.087,0.909,0.474,0.625,13.954546414914194,12
1168,1.0,0.38,0.275,0.095,0.1375,0.086,0.0585,0.0605,7.975693695306674,7
1170,1.0,0.595,0.475,0.16,1.3175,0.408,0.2339999999999999,0.58,16.05540086393529,21
1178,1.0,0.715,0.565,0.18,1.79,0.8440000000000001,0.3535,0.5385,12.749498355507448,9
1181,1.0,0.595,0.47,0.175,0.991,0.382,0.2395,0.5,14.012408193789677,12
1185,1.0,0.685,0.55,0.19,1.885,0.89,0.41,0.4895,11.792891965127096,10
1200,1.0,0.69,0.545,0.205,1.933,0.7855,0.429,0.498,13.605628164933805,13
1207,1.0,0.435,0.3,0.12,0.5965,0.259,0.139,0.1645,8.894491570563991,8
1210,1.0,0.6,0.475,0.23,1.157,0.522,0.2235,0.36,12.51575557951072,11
1218,1.0,0.605,0.47,0.115,1.114,0.3925,0.291,0.31,12.346347536606972,15
1219,1.0,0.31,0.225,0.07,0.1055,0.435,0.015,0.04,1.882847938906097,5
1220,1.0,0.725,0.57,0.19,2.3305,1.253,0.541,0.52,8.721749847327546,9
1228,1.0,0.735,0.585,0.185,2.124,0.952,0.55,0.5,11.920155411991756,11
1235,1.0,0.58,0.46,0.165,1.2275,0.473,0.1965,0.435,13.588211565327667,16
1238,1.0,0.645,0.525,0.19,1.8085,0.7035,0.3885,0.395,13.181706919385416,18
1239,1.0,0.485,0.39,0.085,0.6435,0.2945,0.103,0.198,10.050104808042349,8
1241,1.0,0.625,0.525,0.215,1.5765,0.5115,0.2595,0.665,17.643456952137175,16
1257,1.0,0.505,0.475,0.16,1.1155,0.509,0.239,0.3065,11.381326910082922,8
1261,1.0,0.725,0.575,0.175,2.124,0.765,0.4515,0.85,17.599290056242417,20
1269,1.0,0.705,0.555,0.2,1.4685,0.4715,0.3235,0.52,16.454278697583334,19
1286,1.0,0.66,0.52,0.18,1.514,0.526,0.2975,0.42,14.684328147615172,19
1293,1.0,0.66,0.535,0.2,1.791,0.733,0.318,0.54,14.36227269045725,15
1301,1.0,0.64,0.515,0.08,1.042,0.515,0.1755,0.175,10.173024255578353,10
1307,1.0,0.7,0.54,0.215,1.978,0.6675,0.3125,0.71,17.86818494191748,24
1308,1.0,0.45,0.38,0.165,0.8165,0.25,0.1915,0.265,12.186591176207157,23
1309,1.0,0.355,0.275,0.085,0.22,0.092,0.06,0.15,8.918523228180069,8
1314,1.0,0.66,0.525,0.18,1.6935,0.6025,0.4005,0.42,14.032593981390262,15
1373,1.0,0.695,0.56,0.185,1.7715,0.8195,0.331,0.437,12.368053865138693,10
1375,1.0,0.73,0.595,0.23,2.8255,1.1465,0.419,0.897,17.294787229843205,17
1378,1.0,0.725,0.575,0.24,2.21,1.351,0.413,0.5015,7.730870843004,13
1395,1.0,0.735,0.6,0.22,2.555,1.1335,0.44,0.6,13.622150880119639,11
1408,1.0,0.71,0.57,0.195,1.348,0.8985,0.4435,0.4535,8.456132031140166,11
1421,1.0,0.575,0.46,0.165,1.124,0.2985,0.1785,0.44,15.701355388717731,13
1422,1.0,0.72,0.58,0.19,2.0885,0.9955,0.478,0.5305,11.711733741013541,13
1431,1.0,0.565,0.39,0.125,0.7440000000000001,0.352,0.13,0.1685,9.746945244192199,11
1432,1.0,0.655,0.545,0.185,1.759,0.6865,0.313,0.547,14.952622798402981,11
1439,1.0,0.38,0.32,0.115,0.6475,0.3229999999999999,0.1325,0.1639999999999999,8.5120757208073,7
1446,1.0,0.655,0.5,0.22,1.359,0.642,0.3255,0.405,11.884230568629906,13
1447,1.0,0.675,0.555,0.205,1.925,0.713,0.358,0.4535,14.863443179963918,13
1451,1.0,0.665,0.535,0.225,2.1835,0.7535,0.391,0.885,18.601271131230348,27
1458,1.0,0.665,0.535,0.155,1.383,0.596,0.2565,0.485,13.628596751621464,14
1466,1.0,0.76,0.575,0.19,1.829,0.7035,0.386,0.56,15.21884681951376,14
1476,1.0,0.485,0.345,0.16,0.8690000000000001,0.3085,0.185,0.319,11.541262425898191,9
1490,1.0,0.675,0.55,0.18,1.6885,0.562,0.3705,0.6,16.443592803537815,15
1494,1.0,0.645,0.5,0.18,1.461,0.5985,0.2425,0.439,13.514504888867037,11
1499,1.0,0.68,0.56,0.165,1.639,0.6055,0.2805,0.46,15.05248285350956,15
1508,1.0,0.62,0.52,0.225,1.1835,0.3779999999999999,0.27,0.395,15.3318141166016,23
1515,1.0,0.615,0.485,0.215,0.9615,0.422,0.176,0.29,12.651687761817135,11
1527,1.0,0.7,0.55,0.17,1.6840000000000002,0.7535,0.3265,0.32,11.741207898747852,11
1537,1.0,0.74,0.58,0.205,2.381,0.8155,0.4695,0.488,15.889722143852255,12
1542,1.0,0.235,0.13,0.075,0.1585,0.0685,0.037,0.0465,6.203277780390036,5
1569,1.0,0.38,0.235,0.1,0.258,0.1055,0.054,0.08,8.03948482139298,7
1580,1.0,0.67,0.545,0.16,1.5415,0.5985,0.2565,0.495,14.750532284280775,15
1585,1.0,0.725,0.565,0.21,2.1425,1.03,0.487,0.503,11.222226196866274,14
1621,1.0,0.66,0.565,0.195,1.7605,0.6920000000000001,0.3265,0.5,14.815334501591686,16
1638,1.0,0.71,0.575,0.215,2.009,0.9895,0.4475,0.502,11.46511720906383,11
1676,1.0,0.63,0.51,0.19,1.4985,0.4125,0.3075,0.545,17.060934042685528,16
1682,1.0,0.275,0.205,0.07,0.1055,0.495,0.019,0.0315,0.6388987129138405,5
1697,1.0,0.74,0.565,0.205,2.119,0.9655,0.5185,0.482,11.647701619963426,12
1702,1.0,0.72,0.575,0.215,2.1,0.8565,0.4825,0.602,14.456203082478854,12
1703,1.0,0.72,0.55,0.205,2.125,1.1455,0.4425,0.511,9.507305513303402,13
1707,1.0,0.65,0.525,0.19,1.385,0.8875,0.3095,0.405,8.618209148106498,11
1711,1.0,0.64,0.525,0.185,1.707,0.763,0.4205,0.4435,11.848669142038375,11
1723,1.0,0.72,0.55,0.195,2.073,1.0715,0.4265,0.5015,10.237618319622444,9
1728,1.0,0.495,0.375,0.155,0.976,0.45,0.2285,0.2475,9.661207535140964,9
1731,1.0,0.71,0.565,0.205,2.198,1.012,0.5225,0.5475,11.870559835538147,11
1741,1.0,0.675,0.565,0.195,1.8375,0.7645,0.3615,0.5529999999999999,14.369258558569904,12
1746,1.0,0.565,0.45,0.185,0.9285,0.302,0.1805,0.265,13.271744477240379,12
1760,1.0,0.675,0.525,0.17,1.8095,0.784,0.391,0.455,12.263197468029373,12
1761,1.0,0.7,0.535,0.175,1.773,0.6805,0.48,0.512,13.633294627193738,15
1786,1.0,0.625,0.485,0.17,1.4369999999999998,0.5855,0.293,0.475,13.233208762153275,11
1789,1.0,0.815,0.65,0.25,2.255,0.8905,0.42,0.7975,17.990186761561286,14
1836,1.0,0.63,0.475,0.175,1.423,0.4155,0.3385,0.49,15.385674220981047,14
1865,1.0,0.62,0.495,0.175,1.806,0.643,0.3285,0.725,16.293185053105727,17
1874,1.0,0.71,0.555,0.195,1.9485,0.9455,0.3765,0.495,11.697706343174628,12
1891,1.0,0.515,0.4,0.125,0.955,0.341,0.2535,0.26,11.16992291910552,13
1896,1.0,0.7,0.58,0.205,2.13,0.7415,0.49,0.58,16.089449572182954,20
